ID,Hostel_name,address,pincode,latitude,longitude,review,Rating,wifi,ac,laundry,security,price,BusStop,Distance,EmbeddedMap
0,SMP Group of PGs,"41, 3rd Cross Road,opposite to metro piller no 209,Raghuvanahalli, Subramanyapura",560068,12.882913,77.54605,average,4.4,0,0,1,0,6000,Raghuvanahalli Cross,0.21,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3889.394995696397!2d77.54328877494189!3d12.88230358742491!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae3ff148dfeba9%3A0xa16cbfd415738846!2sSMP%20Group%20of%20PGs!5e0!3m2!1sen!2sin!4v1683004400252!5m2!1sen!2sin
1,Royal New Luxury PG for Ladies,"ROYAL PG, 10TH CROSS, NEAR SAI BABA TEMPLE,, BESIDE ROJA SILKS,HOUSR MAIN ROAD, GAREBAVIPALYA",560070,12.898757,77.628021,average,4,1,1,1,1,10000,Raghuvanahalli Cross,0.21,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d124460.64626651598!2d77.46346170547831!3d12.882290696586434!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae15bbe2483971%3A0x92ac2dee056bb827!2sRoyal%20New%20Luxury%20PG%20for%20Ladies!5e0!3m2!1sen!2sin!4v1683004458667!5m2!1sen!2sin
2,OM Sai Lakshmi PG,"MegaMart, #1596/1, Amma Kodava Samaj, 27th cross, 30th Main, Banashankari 3rd stage. Near DeveGowda(DG) Petrol Bunk opp to, Banashankari Stage II, Banashankari, Bengaluru, Karnataka 560070",560070,12.92400256,77.56070052,good,5,1,1,1,1,10500,"Devegowda Petrol Bunk,BANASHANKARI 3RD STAGE,BESIDE BIG MEGA MART",0.14,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d124460.6590624106!2d77.4634614636698!3d12.882264940169758!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae3f0e9a947045%3A0x48587e215e7a067f!2sOmSai%20Lakshmi%20PG!5e0!3m2!1sen!2sin!4v1683004553188!5m2!1sen!2sin
3,The Beehive Hostel Luxury mens PG,"2237, 23rd Cross Rd, next to Karnataka Grameena Bank, Karesandra, Banashankari Stage II, Banashankari, Bengaluru, Karnataka 560070",560111,12.924089,77.571722,average,4.4,1,1,1,0,8000,"Devegowda Petrol Bunk,BANASHANKARI 3RD STAGE,BESIDE BIG MEGA MART",0.14,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3888.747061739287!2d77.56910517494258!3d12.923971787387035!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae15831ea54555%3A0xa6a6d60314735122!2sThe%20Beehive%20Hostel%20Luxury%20mens%20PG!5e0!3m2!1sen!2sin!4v1683004615363!5m2!1sen!2sin
4,ELITE GIRLS PG / HOSTEL,"7, 3rd Cross Rd, near Dayananda Sagar college of engineering, Kumaraswamy Layout, Bengaluru, Karnataka 560111",560005,12.910611,77.564789,good,4.9,1,0,1,1,9700,"Jaraganahalli House Building Co-Op-Society Layout,J.H.B.C.S.COLONY,IN FRONT OF PARK VIEW DEPARTMENTAL STORES",0.07,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3888.957685757816!2d77.55993959678956!3d12.910441200000008!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae151a7a331d03%3A0x5ef8ece79f08198c!2sELITE%20GIRLS%20PG%20%2F%20HOSTEL!5e0!3m2!1sen!2sin!4v1683004657000!5m2!1sen!2sin
5,home town paying guest,"18, Buddha Vihara Rd, above The Paan Studio, Pulikeshi Nagar, Bengaluru, Karnataka 560005",560016,12.9964924,77.61714221,average,4.2,1,1,1,1,9500,"Jaraganahalli House Building Co-Op-Society Layout,J.H.B.C.S.COLONY,IN FRONT OF PARK VIEW DEPARTMENTAL STORES",0.07,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d15549.851085908007!2d77.61661359692046!3d13.006175796995867!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae16f228bf7a69%3A0xb07f6f558f9741c6!2sHome%20Town%20Paying%20Guest!5e0!3m2!1sen!2sin!4v1683005585769!5m2!1sen!2sin
6,Rentorio Hostel,"1st Main Rd, Bannerghatta Main Rd, Pai Layout, Hulimavu, Bengaluru, Karnataka 560016",560076,12.88128791,77.59642657,good,5,1,0,1,1,12000,"Jaraganahalli House Building Co-Op-Society Layout,J.H.B.C.S.COLONY,IN FRONT OF PARK VIEW DEPARTMENTAL STORES",0.07,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d124437.74884655465!2d77.4427196137375!3d12.928299315684722!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae15f4e75426ef%3A0x18ab09be64818655!2sRentorio%20Dreamville%20-%20Ladies%20Paying%20Guest%20Bannerghatta%20Road!5e0!3m2!1sen!2sin!4v1683005549210!5m2!1sen!2sin
7,Covie Bannerghatta 185 Paying Guest/Hostels,"113, Bannerghatta Main Rd, Madhuban Colony, Hulimavu, Bengaluru, Karnataka 560076",560041,12.87566582,77.60382217,good,5,1,1,1,1,14000,"Jaraganahalli House Building Co-Op-Society Layout,J.H.B.C.S.COLONY,IN FRONT OF PARK VIEW DEPARTMENTAL STORES",0.07,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d124437.73596297725!2d77.44271985550154!3d12.928325157818323!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae6b940094a34f%3A0xb32e6b3159028500!2sCovie%20-%20Bannerghatta%20185!5e0!3m2!1sen!2sin!4v1683005500288!5m2!1sen!2sin
8,SA PG,"#76,/1-4 30 th cross 4th T block Swagat main Road East, Tilak Nagar, Jayanagar, Bengaluru, Karnataka 560041",560076,12.93052602,77.5951554,good,5,1,0,1,1,9500,"Jaraganahalli House Building Co-Op-Society Layout,J.H.B.C.S.COLONY,IN FRONT OF PARK VIEW DEPARTMENTAL STORES",0.07,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d124437.72307935059!2d77.44272009726556!3d12.928351000000003!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae15a5f72cbd37%3A0x663d6e2a5e939fdf!2sSA%20PG!5e0!3m2!1sen!2sin!4v1683005436636!5m2!1sen!2sin
9,Hive Hostels,"No. 10 - 11, Hive Hostels, Bannerghatta Main Rd, Pai Layout, Hulimavu, Bengaluru, Karnataka 560076",560076,12.87814982,77.59774551,good,4.8,1,0,1,0,8000,"Jaraganahalli House Building Co-Op-Society Layout,J.H.B.C.S.COLONY,IN FRONT OF PARK VIEW DEPARTMENTAL STORES",0.07,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d124403.80595230704!2d77.52594264453955!3d12.996207412880354!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae15924d4ca75f%3A0x3feba7264598a11a!2sHive%20Hostels!5e0!3m2!1sen!2sin!4v1683005633943!5m2!1sen!2sin
