Address,rating,Hostel_name,Tags,Locality
"41, 3rd Cross Road,opposite to metro piller no 209,Raghuvanahalli, Subramanyapura",4.4,SMP Group of PGs,"['AC','Security','Veg','Women','girls']",Raghuvanahalli
"ROYAL PG, 10TH CROSS, NEAR SAI BABA TEMPLE,, BESIDE ROJA SILKS,HOUSR MAIN ROAD, GAREBAVIPALYA",4,Royal New Luxury PG for Ladies,"['Laundry','Security','Non-Veg','Women','girls']",Hosur Main Road
"MegaMart, #1596/1, Amma Kodava Samaj, 27th cross, 30th Main, Banashankari 3rd stage. Near DeveGowda(DG) Petrol Bunk opp to, Banashankari Stage II, Banashankari, Bengaluru, Karnataka 560070",5,OM Sai Lakshmi PG,"['AC','Security','Veg','Laundry','Women','girls']",Near DeveGowda(DG) Petrol Bunk
"2237, 23rd Cross Rd, next to Karnataka Grameena Bank, Karesandra, Banashankari Stage II, Banashankari, Bengaluru, Karnataka 560070",4.4,The Beehive Hostel Luxury mens PG,"['Laundry','Security','Non-Veg','Men','boys']",Karesandra
"7, 3rd Cross Rd, near Dayananda Sagar college of engineering, Kumaraswamy Layout, Bengaluru, Karnataka 560111",4.9,ELITE GIRLS PG / HOSTEL,"['AC','Security','Veg','Laundry','Women','girls']",Kumaraswamy Layout
"18, Buddha Vihara Rd, above The Paan Studio, Pulikeshi Nagar, Bengaluru, Karnataka 560005",4.2,home town paying guest,"['Laundry','Security','Non-Veg','Men','boys']",Pulikeshi Nagar
"1st Main Rd, Bannerghatta Main Rd, Pai Layout, Hulimavu, Bengaluru, Karnataka 560016",5,Rentorio Hostel,"['AC','Security','Veg','Laundry','Men','boys']",Hulimavu
"113, Bannerghatta Main Rd, Madhuban Colony, Hulimavu, Bengaluru, Karnataka 560076",5,Covie Bannerghatta 185 Paying Guest/Hostels,"['AC','Security','Veg','Laundry','Women','girls']",Hulimavu
"#76,/1-4 30 th cross 4th T block Swagat main Road East, Tilak Nagar, Jayanagar, Bengaluru, Karnataka 560041",5,SA PG,"['AC','Security','Non-Veg','Laundry','women','girls']",Jayanagar
"No. 10 - 11, Hive Hostels, Bannerghatta Main Rd, Pai Layout, Hulimavu, Bengaluru, Karnataka 560076",4.8,Hive Hostels,"['AC','Security','Veg','Laundry','Men']",Hulimavu
"85/1, First Cross, Bannerghatta Main Rd, Hulimavu, Bengaluru, Karnataka 560076",4.1,Abuzz Oxfordcaps,"['Laundry','Security','Non-Veg','women','girls']",Hulimavu
"arch, no 9 2nd cross thimmareddy layout, Bannerghatta Main Rd, opp. Hulimavu, opp. christ university, Bengaluru, Karnataka 560076",3.7,Sudarshan Luxury Living - Hulimavu,"['Security','Veg,'women','girls'']",Hulimavu
"37/40, 3rd Main Road, 3rd Cross Rd, Srinidhi Layout, 8th Phase, J. P. Nagar, Bengaluru, Karnataka 560062",4.2,Shivrang PG For Gents,"['Laundry','Security','Non-Veg','Men']",JP Nagar
"metro station, ##2052/28-29e, jothi layout, opp. to yelchanahalli, Yelachenahalli, J. P. Nagar, Bengaluru, Karnataka 560078",3.7,New Sri Vaishnavi Gents Pg,"['Security','Veg','Men']",Yelachenahalli
"17, Beereshwara Nagar, Chunchgatta, Phase 7, J. P. Nagar, Bengaluru, Karnataka 560078",4,zolo icarus,"['Laundry','Security','Non-Veg','women','girls']",JP Nagar
"No.3006, Shobha Nilayam, VBN Co Operative Society Layout, Banashankari 3rd Stage",4,"Amma Ladies PG, Water tank road","['Laundry','Security','Non-Veg','women','girls']",Banashanakri 3rd Stage
"No.04 23rd Main, 1st Cross Marenhalli, Jp Nagar 2nd Phase, Bangalore - 560078 (Near Raghavendra Swamy Mata)",4.5,Shree Nideshwara Ladies Pg,"['Laundry','Security','Non-Veg','women','girls']",JP Nagar
"No 26, 22nd Main Road, Jp Nagar 2nd Phase, Bangalore - 560078 (Behind Marenahalli Kala Bhawan,Near Raghavendra Swamy Matt)",4.9,Sri Balaji Luxurious Ladies Pg,"['AC','Security','Veg','Laundry','women','girls']",JP Nagar
"No 58, 1st Stage, 1st Cross, Govinda Reddy Layout, Arkere Micolayout, bangalore - 560076 (Near Ganesga Temple)",3.9,SS LUXURY FOR GENTS AND LADIES PG,"['Security','Veg','Laundry','Men Women']",Arkere Micolayout
"No 33/111, Eastern Portion, 7th Cross, Bilekahalli, Bangalore - 560076 (Opp to Honda Show Room)",4.9,Ss Comforts Gents Pg,"['AC','Security','Veg','Laundry','Men']",Bilekahalli
"No.400, 30th Cross, 8th B Main Road, Jayanagar 4th Block, Bangalore - 560011 (Above Sukh Sagar Hotel)",3.9,Fourth Pg Accommodation,"['Security','Veg','Men']",Jayanagar
"No.31/50, Netaji Road, Tata Silk Farm Road, T.R Nagar, Basavanagudi, Bangalore - 560004 (Near Nagasandra Circle)",3.8,My Home Pg For Men,"['Security','Veg','Men']",Basavanagudi
"1st Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560078",4.1,ATITHI BOYS PG,"['Laundry','Security','Non-Veg','Men']",Kumaraswamy Layout
"7, 3rd Cross Rd, near Dayananda Sagar college of engineering, Kumaraswamy Layout, Bengaluru, Karnataka 560111",4.9,ELITE GIRLS PG / HOSTEL,"['AC','Security','Veg','Laundry','women','girls']",Kumaraswamy Layout
"1555, 6th Cross Rd, 1st Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560078",4.6,Lohitha Girl's PG,"['Laundry','Security','Non-Veg','women','girls']",Kumaraswamy Layout
"36-37, 2nd Cross ,Teachers Colony, near Dayananda College, 1st Stage, Bengaluru, Karnataka 560078",4.9,Anagha Girls PG,"['AC','Security','Veg','Laundry','women','girls']",Kumaraswamy Layout
"Agasthya Arcade, 3rd Cross, near Dayanand Sagar College, 1st Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560078",4.6,Ganapa's Boys PG,"['Laundry','Security','Non-Veg','Men']",Kumaraswamy Layout
"WH68+5PW, Sagar Boys PG, opposite Dayanand sagar college, Bengaluru, Karnataka 560078",3.8,SAGAR BOYS PG,"['Laundry','Security','Non-Veg','Men']",Kumaraswamy Layout
"WH58+H2C, 7th Cross Rd, 1st Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560078",4.1,Yashoda Girls PG,"['Laundry','Security','Non-Veg','women','girls']",Kumaraswamy Layout
"36-37, 2nd Cross ,Teachers Colony, near Dayananda College, 1st Stage, Bengaluru, Karnataka 560078",4.9,Anagha Girls PG,"['AC','Security','Veg','Laundry','women','girls']",Kumaraswamy Layout
"Sudhakar Readdy, 70, 3rd Cross Rd, Teachers Colony, Kumaraswamy Layout, Bengaluru, Karnataka 560078",4.2,Stanza Living Anamur House,"['Laundry','Security','Non-Veg','Women Men']",Kumaraswamy Layout
"10, 3rd Cross Rd, Teachers Colony, Kumaraswamy Layout, Bengaluru, Karnataka 560070",3.9,Paradise PG For Boys & Men,"['Security','Veg','Men']",Kumaraswamy Layout
"metro statio, No 46/5 17th A cross 38th main JP nagar phase 6 Near sindhoor convention hall, behind JP nagar, Bengaluru, Karnataka 560078",4.3,Keerthi sai nest ladies pg,"['Laundry','Security','Non-Veg','women','girls']",JP Nagar
"1, 17th cross, 33rd Main Rd, JP Nagar Phase 6, J. P. Nagar, Bengaluru, Karnataka 560078",4.1,JP Nagar PG,"['Laundry','Security','Non-Veg','women','girls']",JP Nagar
"16th Main Rd, KSRTC Layout, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560078",4.2,Shirdi sai mansion pg,"['Laundry','Security','Non-Veg','women','girls']",JP Nagar
"6th Phase, 23 ,1st main road, JP Nagar, Puttenahalli, Bengaluru, Karnataka 560078",3.9,Skanda Boys PG,"['Security','Veg','Men']",JP Nagar
"No:8,Behind Essar,65/8/1,Kanakapura Road, JP Nagar 1st Phase, Bengaluru 2nd Cross, Gangadhar Nagar, Opp Sarakki Bus Stop and Metro Piller : 55, Bengaluru, Karnataka 560078",4.5,Flourish Luxury Ladies Pg,"['Laundry','Security','Non-Veg','women','girls']",JP Nagar
"1061 3rd Cross 7th Main Srinivasnagar, Banashankari 1st Stage, Bengaluru, Karnataka 560050",5,Venkateshwara P G,"['AC','Security','Veg','Laundry','women','girls']",Srinivasnagar
"2237, 23rd Cross Rd, next to Karnataka Grameena Bank, Karesandra, Banashankari Stage II, Banashankari, Bengaluru, Karnataka 560070",4.4,The Beehive Hostel Luxury mens PG,"['Laundry','Security','Non-Veg','Men']",Karesandra
"Erica, Eshwara Nagar, Banashankari Temple Ward, Bengaluru, Karnataka 560078",4.3,myroomie-Erica Girls PG / Hoste,"['AC','Security','Veg','women','girls']",Eshwara Nagar
"Stage, 2 #7, Subramanya Pura Rd, Kadarenahalli, Banashankari, Bengaluru, Karnataka 560070",5,SRI GURURAGHAVENDRA PG for BOYS,"['AC','Security','Veg','Laundry','Men']",Kadarenahalli
"#5, 3rd and 4th cross Kumarswamy layout 1st stage 70meters from dayananda Sagar Collage, Bengaluru, Karnataka 560070",4.8,Pg ACCOMMODATION for boys,"['AC','Security','Veg','Laundry','Men']",Kumaraswamy Layout
"WGJR+9HR, Hoysala P.G. hostel Karnataka, 2nd Phase, [no name], Banashankari, Bengaluru, Karnataka 560085",4.4,Hoysala P.G. Hostel,"['Laundry','Security','Non-Veg','Men']",Banashanakri
"WH83+W88, 22nd Main Rd, Anjanaswamy Layout, Padmanabhanagar, Bengaluru, Karnataka 560070",4.4,BNMIT Boys Hostel,"['AC','Security','Veg','Men']",Padmanabhanagar
"623/9, 1st B Main Rd, 7th Block West, 7th Block, Jayanagar, Bengaluru, Karnataka 560070",3.9,White House Women's Residence,"['Security','Veg','women','girls']",Jayanagar
"177/B, 1/1 GF, 22nd Cross, 7th B Main Rd, Jayanagar 3rd Block, Jayanagar, Bengaluru, Karnataka 560011",4.4,Keerthi PG For Ladies,"['Laundry','Security','Non-Veg','women','girls']",Jayanagar
